,StartDate2,EndDate1,StartDate1,EndDate2,WarNum,WarName,WarType,ccode,StateName,Side,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,SameSide,OppositeSide,AlliesWithinWar,AlliesBeforeWar,AlliesAfterWar,AlliesGainedDuringWar,AlliesLostDuringWar,AlliesGained2YearsBeforeWar,AlliesLost2YearsBeforeWar,AlliesGained2YearsAfterWar,AlliesLost2YearsAfterWar
0,2008-08-08,1823-11-13 00:00:00,1823-04-07 00:00:00,2008-08-08,1,Franco-Spanish War,1,230,Spain,2,503,2,2,2,-8,600,4,[],[220L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
1,2008-08-08,1823-11-13 00:00:00,1823-04-07 00:00:00,2008-08-08,1,Franco-Spanish War,1,220,France,1,503,2,1,1,-8,400,4,[],[230L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
2,2008-08-08,1829-09-14 00:00:00,1828-04-26 00:00:00,2008-08-08,4,First Russo-Turkish,1,640,Ottoman Empire,2,506,11,2,2,-8,80000,4,[],[365L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
3,2008-08-08,1829-09-14 00:00:00,1828-04-26 00:00:00,2008-08-08,4,First Russo-Turkish,1,365,Russia,1,506,11,1,1,-8,50000,4,[],[640L],"[200L, 220L]",['None'],['None'],['None'],"[200L, 220L]","[200L, 220L]",['None'],['None'],"[200L, 220L]"
4,2008-08-08,1847-09-14 00:00:00,1846-04-25 00:00:00,2008-08-08,7,Mexican-American,1,70,Mexico,2,-8,1,2,2,-8,6000,4,[],[2L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
5,2008-08-08,1847-09-14 00:00:00,1846-04-25 00:00:00,2008-08-08,7,Mexican-American,1,2,United States of America,1,-8,1,1,1,-8,13283,4,[],[70L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
6,2008-08-08,1848-08-09 00:00:00,1848-03-29 00:00:00,2008-08-08,10,Austro-Sardinian,1,337,Tuscany,2,-8,2,2,2,-8,100,4,"[325L, 332L]",[300L],['None'],['None'],['None'],['None'],[300L],['None'],[300L],['None'],['None']
7,1849-03-12 00:00:00,1848-08-09 00:00:00,1848-03-24 00:00:00,1849-03-30 00:00:00,10,Austro-Sardinian,1,325,Italy,2,551,2,1,2,-8,3400,4,"[337L, 332L]",[300L],['None'],['None'],['None'],['None'],[300L],['None'],"[300L, 329L]",['None'],['None']
8,1849-03-12 00:00:00,1848-08-09 00:00:00,1848-03-24 00:00:00,1849-03-30 00:00:00,10,Austro-Sardinian,1,300,Austria,1,551,2,2,1,-8,3927,4,[],"[337L, 325L, 332L]","[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 255L, 365L, 365L, 332L, 335L]","[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 255L, 365L, 365L]","[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 255L, 365L, 365L, 332L, 335L]",['None'],"[337L, 325L]","[332L, 335L]","[325L, 255L, 365L]",['None'],['None']
9,2008-08-08,1848-08-09 00:00:00,1848-04-09 00:00:00,2008-08-08,10,Austro-Sardinian,1,332,Modena,2,-8,2,2,2,-8,100,4,"[337L, 325L]",[300L],[300L],['None'],[300L],['None'],['None'],[300L],['None'],['None'],['None']
