,StartDate2,EndDate1,StartDate1,EndDate2,WarNum,WarName,WarType,ccode,StateName,Side,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,AlliesWithinWar,AlliesBeforeWar,AlliesAfterWar,AlliesGainedDuringWar,AlliesLostDuringWar
0,8/8/2008,11/11/1918,7/29/1914,8/8/2008,106,World War I,1,345,Yugoslavia,1,-8,2,2,1,-8,70000,4,[350L],['None'],[350L],['None'],[350L]
1,8/8/2008,12/5/1917,8/1/1914,8/8/2008,106,World War I,1,365,Russia,1,-8,11,2,1,-8,1700000,4,['None'],['None'],"[220L, 325L, 740L]","[360L, 200L, 220L, 325L, 740L, 200L, 220L, 325L, 360L]","[220L, 325L, 740L, 360L, 740L]"
2,8/8/2008,9/29/1918,10/12/1915,8/8/2008,106,World War I,1,355,Bulgaria,2,-8,2,2,2,-8,87500,4,"[640L, 300L, 255L, 300L]",['None'],"[640L, 300L, 255L, 255L, 300L]",['None'],[255L]
3,8/8/2008,11/11/1918,8/5/1914,8/8/2008,106,World War I,1,200,United Kingdom,1,-8,15,2,1,-8,908371,4,"[740L, 220L]",[740L],"[740L, 220L]","[220L, 325L, 365L, 220L, 325L, 360L, 365L]","[220L, 230L, 220L, 220L, 325L, 365L, 220L, 325L, 360L, 365L]"
4,8/8/2008,11/11/1918,8/23/1914,8/8/2008,106,World War I,1,740,Japan,1,-8,7,2,1,-8,300,4,[200L],[200L],[200L],[365L],"[365L, 365L]"
5,8/8/2008,11/11/1918,3/1/1916,8/8/2008,106,World War I,1,235,Portugal,1,-8,2,2,1,-8,7222,4,['None'],['None'],['None'],['None'],['None']
6,8/8/2008,10/30/1918,10/28/1914,8/8/2008,106,World War I,1,640,Turkey,2,-8,6,2,2,-8,325000,4,[255L],['None'],"[255L, 355L]",['None'],"[255L, 355L]"
7,8/8/2008,11/11/1918,8/4/1914,8/8/2008,106,World War I,1,211,Belgium,1,-8,2,2,1,-8,13716,4,['None'],['None'],['None'],['None'],['None']
8,8/8/2008,11/11/1918,8/1/1914,8/8/2008,106,World War I,1,255,Germany,2,-8,15,2,2,-8,1773700,4,['None'],['None'],"[300L, 300L, 325L, 300L, 325L, 360L]","[640L, 355L, 300L, 355L]","[300L, 300L, 325L, 300L, 325L, 360L, 640L, 355L, 300L, 355L]"
9,8/8/2008,11/11/1918,6/29/1917,8/8/2008,106,World War I,1,350,Greece,1,-8,2,2,1,-8,5000,4,[345L],[345L],[345L],['None'],[345L]
10,8/8/2008,12/9/1917,8/27/1916,8/8/2008,106,World War I,1,360,Romania,1,-8,2,2,1,-8,335706,4,"[255L, 300L, 325L, 200L, 220L, 325L, 365L]","[255L, 300L, 325L]","[255L, 300L, 325L, 365L, 200L, 220L, 325L, 365L]",['None'],['None']
11,8/8/2008,11/3/1918,7/29/1914,8/8/2008,106,World War I,1,300,Austria-Hungary,2,-8,2,1,2,-8,1200000,4,"[255L, 255L, 325L, 255L, 325L, 360L]","[255L, 255L, 325L, 255L, 325L, 360L]","[255L, 255L, 325L, 255L, 325L, 360L]","[355L, 255L, 355L]","[255L, 255L, 325L, 255L, 325L, 360L, 355L, 255L, 355L]"
12,8/8/2008,11/11/1918,8/3/1914,8/8/2008,106,World War I,1,220,France,1,-8,14,2,1,-8,1385000,4,"[325L, 200L]",[325L],"[365L, 325L, 200L]","[200L, 325L, 365L, 200L, 325L, 360L, 365L]","[365L, 200L, 230L, 200L, 200L, 325L, 365L, 200L, 325L, 360L, 365L]"
13,8/8/2008,11/11/1918,5/23/1915,8/8/2008,106,World War I,1,325,Italy,1,-8,2,2,1,-8,650000,4,"[220L, 200L, 220L, 365L]",[220L],"[255L, 300L, 255L, 300L, 360L, 220L, 365L, 200L, 220L, 365L]","[200L, 220L, 360L, 365L]","[255L, 300L, 255L, 300L, 360L, 365L, 200L, 220L, 365L, 200L, 220L, 360L, 365L]"
14,8/8/2008,11/11/1918,4/17/1917,8/8/2008,106,World War I,1,2,United States of America,1,-8,2,2,1,-8,116516,4,['None'],['None'],['None'],['None'],['None']
15,8/8/2008,1/20/1945,6/27/1941,8/8/2008,139,World War II,1,310,Hungary,2,-8,2,2,2,-8,136000,4,[640L],[640L],[640L],['None'],"[640L, 255L, 325L, 355L, 360L, 740L]"
16,8/8/2008,5/28/1940,5/10/1940,8/8/2008,139,World War II,1,211,Belgium,1,-8,2,2,1,-8,9600,4,['None'],['None'],['None'],['None'],['None']
17,8/8/2008,7/14/1941,7/7/1940,8/8/2008,139,World War II,1,220,France,2,-8,2,2,2,-8,2500,4,"[200L, 640L]",['None'],"[290L, 290L, 360L, 345L, 640L, 365L, 255L, 640L, 200L, 640L]",['None'],['None']
18,8/8/2008,4/17/1941,4/6/1941,8/8/2008,139,World War II,1,345,Yugoslavia,1,-8,2,2,1,-8,305000,4,"[350L, 640L, 325L, 365L]","[350L, 640L, 325L]","[360L, 290L, 220L, 350L, 640L, 350L, 360L, 640L, 325L, 350L, 355L, 360L, 640L, 365L]",['None'],['None']
19,8/8/2008,9/19/1944,6/25/1941,8/8/2008,139,World War II,1,375,Finland,2,-8,2,2,2,-8,65000,4,['None'],['None'],['None'],['None'],[365L]
20,8/8/2008,6/9/1940,4/9/1940,8/8/2008,139,World War II,1,385,Norway,1,-8,2,2,1,-8,3000,4,['None'],['None'],['None'],['None'],['None']
21,8/8/2008,8/14/1945,9/10/1939,8/8/2008,139,World War II,1,20,Canada,1,-8,2,2,1,-8,41992,4,['None'],['None'],['None'],['None'],['None']
22,8/8/2008,8/14/1945,12/7/1941,8/8/2008,139,World War II,1,2,United States of America,1,-8,19,2,1,-8,405400,4,['None'],['None'],"[40L, 41L, 42L, 70L, 90L, 91L, 92L, 93L, 94L, 95L, 100L, 101L, 130L, 135L, 140L, 145L, 150L, 155L, 160L, 165L]","[40L, 41L, 42L, 70L, 90L, 91L, 93L, 94L, 95L, 100L, 101L, 130L, 135L, 140L, 145L, 150L, 155L, 160L, 165L]","[40L, 41L, 42L, 70L, 90L, 91L, 92L, 93L, 94L, 95L, 100L, 101L, 130L, 135L, 140L, 145L, 150L, 155L, 160L, 165L]"
23,8/8/2008,8/14/1945,9/3/1939,8/8/2008,139,World War II,1,200,United Kingdom,1,-8,15,2,1,-8,418765,4,"[645L, 651L]","[645L, 651L]","[645L, 651L]","[220L, 640L, 800L, 365L, 365L, 630L]","[290L, 800L]"
24,8/8/2008,5/14/1940,5/10/1940,8/8/2008,139,World War II,1,210,Netherlands,1,-8,2,2,1,-8,7900,4,['None'],['None'],['None'],['None'],['None']
25,8/8/2008,9/2/1943,6/10/1940,8/8/2008,139,World War II,1,325,Italy,2,-8,14,2,2,-8,174500,4,[255L],['None'],[255L],"[255L, 310L, 355L, 360L, 740L]","[365L, 345L, 255L, 255L, 310L, 355L, 360L, 740L]"
26,8/8/2008,5/7/1945,9/9/1944,8/8/2008,139,World War II,1,360,Romania,1,-8,2,2,1,-8,10000,4,['None'],['None'],[640L],['None'],['None']
27,8/8/2008,8/23/1944,6/22/1941,8/8/2008,139,World War II,1,360,Romania,2,-8,2,2,2,-8,290000,4,[640L],[640L],[640L],['None'],"[255L, 310L, 325L, 355L, 740L]"
28,8/8/2008,9/8/1944,12/13/1941,8/8/2008,139,World War II,1,355,Bulgaria,2,-8,2,2,2,-8,9000,4,['None'],['None'],['None'],['None'],['None']
29,8/8/2008,5/7/1945,9/9/1944,8/8/2008,139,World War II,1,355,Bulgaria,1,-8,2,2,1,-8,1000,4,['None'],['None'],['None'],['None'],['None']
30,8/8/2008,4/23/1941,10/25/1940,8/8/2008,139,World War II,1,350,Greece,1,-8,2,2,1,-8,18300,4,[640L],[640L],"[345L, 640L, 345L, 360L, 640L, 345L, 355L, 360L, 640L]",['None'],"[345L, 640L, 345L, 360L, 640L]"
